glyph_hash,font_postscript_name,glyph_name,codepoint
28fb6beebfdb4dc3e0fec98720f0c736ad28f6290cc84a59cb73b3370eca2e44,Drutsa-a2,question,63
69e6beca6d97e08698c42dd03b5ac9aefec02cf761c89a34f348d0e05d9b8256,Drutsa-a2,C,67
a888ddaa5d3c9d9d7edbb27b1050293d549a8d3234dba6f70a60fd78179bc3dc,Drutsa-a2,D,68
18464b363434a88bec4f04aa3b4598a7cf179855fe855cb659f7663b38ab209c,Drutsa-a2,eight,56
5ace6794c79c13cecea23552958d7641bb908d50a98d58790058a9d355d8f431,Drutsa-a2,percent,37
46d8635ef7d49e8c78c34325490ae28bf3217f6dc5c16ffa4fa6226133673201,Drutsa-a2,Y,89
c1e88f794c2ef48ae844b61182c01bebe662b6a0ffd3c2cd4577e98c758b0df2,Drutsa-a2,U,85
ffddc9321ab213dcd920474fa6e0cc98f5b4841089471dde922b5683009b372c,Drutsa-a2,Z,90
327e7f2ba56803c22419aa5235c8b50ba61bb6b48f7e756ff7b4a3f3f027a7a6,Drutsa-a2,parenright,41
c2f01e06393bd265be6c8c35645a1e339545c69c4ed3700f9e65be4af60b9a6f,Drutsa-a2,T,84
db4a4ad3fe5c1943aef58229428a34a991cbbcb798f661ab86267b7e50d96633,Drutsa-a2,parenleft,40
4ddc4aef9686b7c35f6daf9ba5a6d98158c40f934eb1f0a26bf3fa8d15508ce0,Drutsa-a2,H,72
35d863d449cbbdb1180dc97ca5185a7d00d479222a79da773ebb16c235204983,Drutsa-a2,s,115
5870b6ae3114c7d87cfb86d073dc33af6b6bc83281042234149db04f4dba7286,Drutsa-a2,numbersign,35
c6551332b12e1f82262dbb6196c639c76fa508a392cfd611a4d87357de87e8bd,Drutsa-a2,braceright,125
713a4efb6a1ac8be1bafb70d62e57447fe9485bbe4ec71592e39e493d8b075e6,Drutsa-a2,z,122
79fe15abe20b634a167a389887e875fcb8e3c28b8ad9bca9b202d9eded2bed4d,Drutsa-a2,v,118
d1ce75abd7f9458077f1acb5c52d2a2f307e3222eb259797508df43891bbf139,Drutsa-a2,b,98
fe502c6b716c9e27e133f91d8ae2d81fed1e398618ab085ee4115652f3a1f11b,Drutsa-a2,hyphen,45
3e0ccedefe11c1727f3f112ac98612cc8077f03a644233e7deba86cc9703452d,Drutsa-a2,a,97
c53e0efa168c1576e379969de6ea9ec16056e8d70d84e59579a2e286b4e1192d,Drutsa-a2,two,50
4d6f0b997bdc03670e707e5127b8b44e23bae358749c226653e87787d74b1556,Drutsa-a2,exclam,33
cc92d14115ac55fd24f6188070fb37a636d798581ccb181f981938c02acd9653,Drutsa-a2,f,102
d5f40108039bf95241b46436e1cb06a1698625e10e0c0ff616581f782aae6951,Drutsa-a2,underscore,95
35132ad765c31a7dfbeff56471da89911c6c1c652dd33f897b44941e9d965002,Drutsa-a2,bracketleft,91
44727e64cbcafab496367ec37131d27bf08e480308f09e6228aa43a116f9e0b6,Drutsa-a2,q,113
acd241fe1136d1c2233c3b0c873bf05df0ed6c82604dbc739c27da4f920bbe41,Drutsa-a2,d,100
5560f3f7caa426f85cf92e927e786fbb06a9f0841d71466adbf3f083df934c45,Drutsa-a2,period,46
4e7c5c8896f3ec9728c41fcc8055345e76e8f879e7dff8d5a25102dfbb4bf60f,Drutsa-a2,O,79
f9c27947a21be993b5fea05bffdd9babac2049319798c1547189bb47767d7b57,Drutsa-a2,m,109
7fd4b7b372bdd8bfeb3746714eee7744c8eadec93229ac98870acf2a09de5829,Drutsa-a2,y,121
fb83dd07f8a7caabff0dce0b7a43de10d8c2afc0e60cd36e0e7491fa4d874d6a,Drutsa-a2,asterisk,42
d0765bc41a2674aee9040e47ed99390bc19e9737b0a39c5ca4bc8515b813b3d8,Drutsa-a2,seven,55
27aaaf788b998deacbec150a709be7ae0338a3b392048f5c1cf403d5106086cd,Drutsa-a2,I,73
56b7cfa24744d4eff8b2e62d98f15664db8ea79f6e82fe66f96ae4412fe07ac2,Drutsa-a2,i,105
73a04c57092a32091775c597307cdadd78c0faa295a36e424f75828eb8e7852b,Drutsa-a2,l,108
55e06991b2db800c75aacc64c240436f18d81d5ca829324c2934aca39075468e,Drutsa-a2,at,64
d8550343ae4a1b605dd420ebf427e0acfc3d96326cb2b7333aac3eeb01239c86,Drutsa-a2,bar,124
b4864de27dce6ef0f2dd2b6d9b79a690855577eeae3418541c899cd912309ecf,Drutsa-a2,k,107
5b8ed2661b637a86d9a1a0501ec0938eef93747e0e869be165c62a7bbaa23325,Drutsa-a2,Q,81
2f49d8d9b930ef04df738e31b429c0b857a575cc10df7512b516c23233f52fde,Drutsa-a2,R,82
65c115c9e1a1c987767ec4f3a9eb66d02a36a9b236f952564954ad9b3f49de13,Drutsa-a2,space,32
65c115c9e1a1c987767ec4f3a9eb66d02a36a9b236f952564954ad9b3f49de13,Drutsa-a2,space,160
d78f6cac9463cf8114e3e2ff4177d2e71c83046b86a13d9765cbb415f2c6b61d,Drutsa-a2,N,78
c0c5d97444747a9d4c2ea894c3f7c8afdd895a90d4339a09170896dadda52d16,Drutsa-a2,six,54
72d9c1972aa22a76d7b55c521c9f4f5a769852a5dac985c20c162b101fb706dc,Drutsa-a2,five,53
410101a8b3f83681300ec17d3a021e0b53e0b75e57f2948727450f8962100072,Drutsa-a2,greater,62
a124a7fc945bdc1254584b53a4d21357201b94e1c631ec509db6938a0a157aca,Drutsa-a2,L,76
a7aba4bdf8153181befe7c2f304bfd6f1ddeae43d0c71a413deab85ddae0d620,Drutsa-a2,V,86
eb2756678805725a1db0c9b247c964c106cf94e3576b3c7bd497ef926e06bb13,Drutsa-a2,X,88
